Категория,#,Компания/Клуб,Сайт,Примечание
Спортклубы,30,Сокол Саратов,fcsokol.ru,Футбол (РПЛ + Первая лига)
Спортклубы,31,ЦСКА,cska-hockey.ru,Хоккей (КХЛ)
Спортклубы,32,СКА,ska.ru,Хоккей (КХЛ)
Спортклубы,33,Динамо Москва,dynamo.ru,Хоккей (КХЛ)
Спортклубы,34,Ак Барс,ak-bars.ru,Хоккей (КХЛ)
Спортклубы,35,Металлург Магнитогорск,metallurg.ru,Хоккей (КХЛ)
Спортклубы,36,Авангард,hawk.ru,Хоккей (КХЛ)
Спортклубы,37,Локомотив Ярославль,hclokomotiv.ru,Хоккей (КХЛ)
Спортклубы,38,Салават Юлаев,hcsalavat.ru,Хоккей (КХЛ)
Спортклубы,39,Спартак Москва,spartak.ru,Хоккей (КХЛ)
Спортклубы,40,Трактор,traktor.ru,Хоккей (КХЛ)
Спортклубы,41,Автомобилист,hc-avto.ru,Хоккей (КХЛ)
Спортклубы,42,Торпедо НН,torpedo-nn.ru,Хоккей (КХЛ)
Спортклубы,43,Сибирь,hcsibir.ru,Хоккей (КХЛ)
Спортклубы,44,Северсталь,severstalclub.ru,Хоккей (КХЛ)
Спортклубы,45,Нефтехимик,hcnh.ru,Хоккей (КХЛ)
Спортклубы,46,Барыс,barys.kz,Хоккей (КХЛ)
Спортклубы,47,Динамо Минск,dynamo-minsk.by,Хоккей (КХЛ)
Спортклубы,48,Куньлунь Ред Стар,redstar.club,Хоккей (КХЛ)
Спортклубы,49,Адмирал,hcadmiral.ru,Хоккей (КХЛ)
Спортклубы,50,Амур,hcamur.ru,Хоккей (КХЛ)
Спортклубы,51,Лада Тольятти,hclada.ru,Хоккей (КХЛ)
Спортклубы,52,Витязь,hcvityaz.ru,Хоккей (КХЛ)
Спортклубы,53,ХК Сочи,hcsochi.ru,Хоккей (КХЛ)
Спортклубы,54,Динамо СПб (ВХЛ),dynamospb.ru,Хоккей (КХЛ)
Спортклубы,55,СКА-Нева,ska-neva.ru,Хоккей (КХЛ)
Спортклубы,56,Торос,hctoros.ru,Хоккей (КХЛ)
Спортклубы,57,Югра,hcugra.ru,Хоккей (КХЛ)
Спортклубы,58,Рубин Тюмень,hcrubin.ru,Хоккей (КХЛ)
Спортклубы,59,Зауралье,hczauralie.ru,Хоккей (КХЛ)
Спортклубы,60,Звезда,hczvezda.ru,Хоккей (КХЛ)
Спортклубы,61,ЦСКА,cskabasket.com,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,62,Зенит,basket.zenit-spb.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,63,УНИКС,unics.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,64,Локомотив-Кубань,lokobasket.com,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,65,Парма,parmabasket.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,66,Автодор,avtodorbasket.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,67,Самара,basket.cska-samara.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,68,Енисей,bcenisey.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,69,Нижний Новгород,nn-basket.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,70,МБА Москва,mba-basket.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,71,Уралмаш,uralmaschbasket.com,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,72,Руна,bcruna.com,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,73,Динамо Владивосток (ж),bcdynamo.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,74,ЦСКА (ж),cskabasket.com,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,75,Динамо Курск (ж),bcdynamo-kursk.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,76,УГМК Екатеринбург (ж),bcugmk.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,77,Спарта&К (ж),spartakreg.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,78,МБА (ж),mba-basket.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,79,Купол-Родники,kupol-basket.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,80,Темп-СУМЗ-УГМК,temp-sumz.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,81,Иркут,bcirkut.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,82,Уфимец,bcufimec.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,83,Динамо Магнитогорск,bcdynamo-mgn.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,84,Чебоксарские Ястребы,yastreby21.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,85,Новосибирск,bcnsk.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,86,Зенит-2,basket.zenit-spb.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,87,Барнаул,bc-barnaul.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,88,Тамбов,bctambov.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,89,Восток-65,bcvostok65.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,90,Эльбрус,bcelbrus.ru,Баскетбол (Единая лига ВТБ + Суперлига)
Спортклубы,91,Зенит-Казань,zenit-kazan.com,Волейбол (Суперлига)
Спортклубы,92,Динамо Москва,vcdynamo.ru,Волейбол (Суперлига)
Спортклубы,93,Локомотив Новосибирск,lokovolley.com,Волейбол (Суперлига)
Спортклубы,94,Зенит СПб,zenit-volley.ru,Волейбол (Суперлига)
Спортклубы,95,Динамо ЛО,dynamolo.ru,Волейбол (Суперлига)
Спортклубы,96,Белогорье,belogorie.ru,Волейбол (Суперлига)
Спортклубы,97,Факел Новый Уренгой,fakelvolley.ru,Волейбол (Суперлига)
Спортклубы,98,Кузбасс,vc-kuzbass.ru,Волейбол (Суперлига)
Спортклубы,99,Урал Уфа,vcural.ru,Волейбол (Суперлига)
Спортклубы,100,Газпром-Югра,vcgazprom-ugra.ru,Волейбол (Суперлига)
Спортклубы,101,АСК Нижний Новгород,ask-vc.ru,Волейбол (Суперлига)
Спортклубы,102,Енисей,vcenisey.ru,Волейбол (Суперлига)
Спортклубы,103,Нова Новокуйбышевск,vc-nova.ru,Волейбол (Суперлига)
Спортклубы,104,МГТУ,vc-mgtu.ru,Волейбол (Суперлига)
Спортклубы,105,Динамо-ЛО (резерв),dynamolo.ru,Волейбол (Суперлига)
Спортклубы,106,Динамо Москва (ж),vcdynamo.ru,Волейбол (Суперлига)
Спортклубы,107,Локомотив Калининград (ж),vclok.ru,Волейбол (Суперлига)
Спортклубы,108,Динамо Казань (ж),wvcdynamo.ru,Волейбол (Суперлига)
Спортклубы,109,Динамо-Метар (ж),metar.ru,Волейбол (Суперлига)
Спортклубы,110,Заречье-Одинцово (ж),zarechye-odintsovo.ru,Волейбол (Суперлига)
Спортклубы,111,Уралочка-НТМК (ж),vcuralochka.ru,Волейбол (Суперлига)
Спортклубы,112,Тулица (ж),vc-tulitsa.ru,Волейбол (Суперлига)
Спортклубы,113,Минчанка (ж),minchanka.by,Волейбол (Суперлига)
Спортклубы,114,Енисей (ж),wvcenisey.ru,Волейбол (Суперлига)
Спортклубы,115,Северянка,severyanka.com,Волейбол (Суперлига)
Спортклубы,116,Протон Саратов (ж),vcproton.ru,Волейбол (Суперлига)
Спортклубы,117,Спарта Нижний Новгород,vcsparta.ru,Волейбол (Суперлига)
Спортклубы,118,Тархан Стерлитамак,vctarhan.ru,Волейбол (Суперлига)
Спортклубы,119,Динамо-Янтарь,vcdynamo-yantar.ru,Волейбол (Суперлига)
Спортклубы,120,Локомотив-Изумруд,loko-izumrud.ru,Волейбол (Суперлига)
